date,tempF
2025-12-12,35.35
2025-12-13,35.35
2025-12-14,35.35
2025-12-15,34.59
2025-12-16,34.25
2025-12-17,34.25
2025-12-18,34.25
2025-12-19,34.25
2025-12-20,34.25
2025-12-21,34.25
2025-12-22,34.25
2025-12-23,35.06
2025-12-24,36.61
2025-12-25,36.61
2025-12-26,36.61
2025-12-27,36.61
2025-12-28,36.61
2025-12-29,38.1
2025-12-30,35.2
2025-12-31,33.98
2026-01-01,33.98
2026-01-02,33.98
2026-01-03,33.98
2026-01-04,33.98
2026-01-05,33.98
2026-01-06,33.98
2026-01-07,35.53
2026-01-08,36.88
2026-01-09,37.42
2026-01-10,37.42
2026-01-11,37
2026-01-12,36.09
2026-01-13,35.38
2026-01-14,35.38
2026-01-15,35.38
2026-01-16,35.38
2026-01-17,35.38
2026-01-18,33.22
2026-01-19,32.67
2026-01-20,32.67
2026-01-21,32.67
2026-01-22,32.67
2026-01-23,32.67
2026-01-24,32.56
2026-01-25,32.56
