date,tempF
2025-12-11,42.53
2025-12-12,43.65
2025-12-13,42.82
2025-12-14,40.78
2025-12-15,35.31
2025-12-16,36.25
2025-12-17,38.07
2025-12-18,40.71
2025-12-19,42.89
2025-12-20,39.6
2025-12-21,41.0
2025-12-22,39.31
2025-12-23,42.3
2025-12-24,43.54
2025-12-25,44.2
2025-12-26,44.53
2025-12-27,46.49
2025-12-28,46.74
2025-12-29,43.84
2025-12-30,36.23
2025-12-31,36.16
2026-01-01,38.73
2026-01-02,40.15
2026-01-03,41.36
2026-01-04,40.55
2026-01-05,43.32
2026-01-06,43.72
2026-01-07,43.05
2026-01-08,41.99
2026-01-09,43.27
2026-01-10,39.29
2026-01-11,37.83
2026-01-12,36.61
2026-01-13,37.2
2026-01-14,39.7
2026-01-15,40.78
2026-01-16,39.04
2026-01-17,38.57
2026-01-18,34.59
2026-01-19,33.28
2026-01-20,34.75
2026-01-21,35.22
2026-01-22,35.69
2026-01-23,35.37
2026-01-24,33.64
