date,tempF
2026-01-01,10
2026-01-02,12
2026-01-03,14
2026-01-04,16
2026-01-05,18
2026-01-06,20
2026-01-07,22
2026-01-08,24
2026-01-09,26
2026-01-10,28
2026-01-11,30
2026-01-12,32
2026-01-13,34
2026-01-14,36
2026-01-15,38
2026-01-16,40
2026-01-17,42
2026-01-18,44
2026-01-19,46
2026-01-20,48
2026-01-21,50
2026-01-22,52
2026-01-23,54
2026-01-24,56
2026-01-25,58
2026-01-26,60
2026-01-27,62
2026-01-28,64
2026-01-29,66
2026-01-30,68
2026-01-31,70
2026-02-01,72
2026-02-02,74
2026-02-03,76
2026-02-04,78
2026-02-05,80
2026-02-06,82
2026-02-07,84
2026-02-08,86
2026-02-09,88
2026-02-10,90
2026-02-11,92
2026-02-12,94
2026-02-13,96
2026-02-14,98
