date,avgF,minF,maxF
2026-03-18,47.35,42.46,53.13
2026-03-19,52.92,48,58.91
2026-03-20,55.96,50.38,62.31
2026-03-21,58.21,53.51,63.43
2026-03-22,59.27,54.01,64.9
2026-03-23,58.24,56.17,61.5
2026-03-24,54.64,52.16,57.16
2026-03-25,55.56,51.48,60.13
2026-03-26,60.19,55.85,65.61
2026-03-27,63.59,61.21,66.65
2026-03-28,57.29,55.49,61.88
2026-03-29,55.9,53.51,58.46
2026-03-30,57.99,54.55,62.47
2026-03-31,61.21,58.21,64.63
2026-04-01,61.25,59.29,63.45
2026-04-02,57.36,55.9,59.29
2026-04-03,58.39,55.6,61.68
2026-04-04,58.64,57.11,59.9
2026-04-05,55.69,53.1,58.1
2026-04-06,55.65,51.98,59.58
2026-04-07,57.34,54.3,60.44
2026-04-08,57.94,55,60.78
2026-04-09,59,56.08,62.13
2026-04-10,60.62,58.17,63.05
2026-04-11,57.87,56.28,62.06
2026-04-12,59.38,56.34,62.51
2026-04-13,62.64,60.91,65.14
2026-04-14,63.55,61.5,66.22
2026-04-15,63.59,60.85,65.93
2026-04-16,63.34,60.84,65.16
2026-04-17,62.24,59.18,65.39
2026-04-18,62.91,60.49,64.17
2026-04-19,58.86,56.3,61.07
2026-04-20,57.79,54.19,61.32
2026-04-21,60.13,56.95,63.39
2026-04-22,63.07,60.28,66.22
2026-04-23,63.66,62.46,64.92
2026-04-24,64.8,63.45,67.05
2026-04-25,63.54,60.66,66.43
2026-04-26,63.3,61.47,65.05
2026-04-27,59.65,58.5,61.47
2026-04-28,60.22,58.71,62.01
2026-04-29,58.41,56.37,60.55
2026-04-30,57.51,55.38,59.94
2026-05-01,56.55,55.72,57.58
2026-05-02,56.32,53.96,58.96
2026-05-03,57.78,54.41,61.88
2026-05-04,59.86,56.34,63.36
2026-05-05,62.53,59.18,66.36
2026-05-06,60.55,58.53,63.88
2026-05-07,57.49,56.25,58.73
2026-05-08,57.11,53.44,60.91
2026-05-09,60.08,57.54,63.36
2026-05-10,61.14,57.87,64.62
2026-05-11,61.18,59.5,63.07
2026-05-12,61.12,57.47,65.05
2026-05-13,63.91,60.66,67.46
2026-05-14,65.21,61.95,68.88
2026-05-15,66.2,63.54,68.99
2026-05-16,68.2,65.28,71.53
2026-05-17,69.78,66.61,73.08
2026-05-18,71.2,68.92,73.49
2026-05-19,69.19,64.87,71.87
2026-05-20,62.74,60.08,64.96
2026-05-21,62.64,60.1,65.26
2026-05-22,63.39,62.2,64.2
2026-05-23,63.88,62.53,65.77
2026-05-24,62.17,60.55,63.86
2026-05-25,64.56,60.66,69.1
2026-05-26,68.05,65.01,71.67
2026-05-27,68.95,66.42,71.62
2026-05-28,68.77,66.96,70.07
2026-05-29,67.86,67.32,68.99
2026-05-30,68.92,66.47,72.23
2026-05-31,70.79,68.54,73.31
2026-06-01,71.67,69.1,74.91
2026-06-02,72.21,69.84,75
2026-06-03,71.06,68.79,74.05
2026-06-04,72.61,71.01,74.84
2026-06-05,71.02,68.58,73.27
2026-06-06,73.11,70.23,76.42
2026-06-07,72.5,71.15,73.69
2026-06-08,73.45,70.9,76.68
2026-06-09,75.76,73.02,79.29
