date,min7F,avg7F,max7F
2026-07-30,77.05,82.37,86.5
2026-07-31,78.21,82.86,86.5
2026-08-01,79.61,83.16,86.5
2026-08-02,77.92,82.86,86.5
2026-08-03,76.14,82.36,86.5
2026-08-04,76.14,81.95,86.5
2026-08-05,76.14,81.4,86.14
2026-08-06,75.47,80.62,86.14
2026-08-07,75.47,79.88,85.51
2026-08-08,75.47,79.28,83.73
2026-08-09,75.47,79.11,83.66
2026-08-10,75.47,79.19,83.16
2026-08-11,75.47,79.28,83.37
2026-08-12,75.47,79.51,84.31
2026-08-13,75.81,80.17,85.5
2026-08-14,75.81,80.89,85.98
2026-08-15,76.53,81.54,86.04
2026-08-16,77.54,81.95,86.04
2026-08-17,78.26,82.09,86.04
2026-08-18,78.26,82.08,86.04
2026-08-19,77.94,82,86.04
2026-08-20,77.94,81.83,86.04
2026-08-21,77.94,81.55,86.04
2026-08-22,77.94,81.31,84.88
2026-08-23,77.94,81.19,84.78
2026-08-24,77.94,81.03,84.78
2026-08-25,77.41,81.02,84.78
2026-08-26,72.93,80.5,84.78
2026-08-27,72.93,80.07,84.78
2026-08-28,72.93,79.73,84.67
2026-08-29,72.93,79.31,84.54
2026-08-30,72.93,78.86,84.54
2026-08-31,72.93,78.77,84.54
2026-09-01,72.93,78.78,83.7
2026-09-02,75.27,79.24,83.7
2026-09-03,75.27,79.65,83.97
2026-09-04,75.27,80.09,85.08
2026-09-05,75.27,80.7,85.84
2026-09-06,76.48,81.34,85.84
2026-09-07,77.77,81.46,85.84
2026-09-08,77.58,81.44,85.84
2026-09-09,77.58,81.66,85.84
2026-09-10,77.58,81.73,85.84
2026-09-11,77.58,81.4,85.84
2026-09-12,75.38,80.78,85.64
